cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
4,Mark Jackson,jacksma01,1993,0.49,0.27,0.80,4.73,8.83,1.66,0.15,2.68,14.40,27
4,Kevin Johnson,johnske02,1993,0.50,0.02,0.82,2.12,7.84,1.73,0.39,3.08,16.14,26
4,Scott Skiles,skilesc01,1993,0.47,1.03,0.89,3.72,9.42,1.10,0.03,3.42,15.40,28
4,John Stockton*,stockjo01,1993,0.49,0.88,0.80,2.89,12.04,2.43,0.26,3.24,15.11,30
4,Isiah Thomas*,thomais01,1993,0.42,0.77,0.74,2.94,8.49,1.56,0.23,3.59,17.61,31
4,Micheal Williams,willimi02,1993,0.45,0.34,0.91,3.59,8.70,2.17,0.30,2.99,15.14,26
4,Kenny Anderson,anderke01,1994,0.42,0.49,0.82,3.93,9.56,1.93,0.18,3.24,18.76,23
4,Mookie Blaylock,blaylmo01,1994,0.41,1.41,0.73,5.23,9.74,2.62,0.54,2.42,13.80,26
4,John Stockton*,stockjo01,1994,0.53,0.59,0.81,3.15,12.57,2.43,0.27,3.24,15.07,31
4,Rod Strickland,stricro02,1994,0.48,0.02,0.75,4.51,9.02,1.79,0.29,3.13,17.21,27
4,Kenny Anderson,anderke01,1995,0.40,1.35,0.84,3.47,9.44,1.43,0.19,3.13,17.60,24
4,Mookie Blaylock,blaylmo01,1995,0.43,2.49,0.73,4.91,7.70,2.50,0.33,3.03,17.16,27
4,John Stockton*,stockjo01,1995,0.54,1.24,0.80,3.06,12.33,2.37,0.27,3.26,14.71,32
4,Rod Strickland,stricro02,1995,0.47,0.72,0.75,4.95,8.78,1.92,0.14,3.27,18.92,28
4,Nick Van Exel,vanexni01,1995,0.42,2.29,0.78,2.79,8.25,1.21,0.08,2.75,16.85,23
4,Kenny Anderson,anderke01,1996,0.42,1.33,0.77,2.94,8.33,1.61,0.20,2.12,15.22,25
4,Kevin Johnson,johnske02,1996,0.51,0.38,0.86,3.95,9.23,1.46,0.23,3.04,18.70,29
4,Jason Kidd,kiddja01,1996,0.38,1.64,0.69,6.83,9.67,2.16,0.32,4.05,16.64,22
4,Robert Pack,packro01,1996,0.43,0.84,0.85,4.26,7.81,2.00,0.03,3.68,18.06,26
4,John Stockton*,stockjo01,1996,0.54,1.16,0.83,2.76,11.17,1.71,0.18,3.00,14.74,33
4,Damon Stoudamire,stoudda01,1996,0.43,1.90,0.80,4.01,9.33,1.40,0.27,3.81,19.01,22
4,Rod Strickland,stricro02,1996,0.46,0.57,0.65,4.43,9.55,1.45,0.24,3.81,18.75,29
4,John Stockton*,stockjo01,1997,0.55,0.93,0.85,2.78,10.49,2.02,0.18,3.02,14.43,34
4,Rod Strickland,stricro02,1997,0.47,0.16,0.74,4.09,8.87,1.74,0.17,3.29,17.20,30
4,Nick Van Exel,vanexni01,1997,0.40,2.24,0.83,2.86,8.51,0.95,0.13,2.68,15.27,25
4,Terrell Brandon,brandte01,1998,0.46,0.62,0.85,3.52,7.74,2.22,0.34,2.90,16.82,27
4,Stephon Marbury,marbust01,1998,0.42,1.16,0.73,2.80,8.59,1.27,0.09,3.12,17.68,20
4,Damon Stoudamire,stoudda01,1998,0.41,1.28,0.83,4.20,8.17,1.59,0.10,3.14,17.25,24
4,Rod Strickland,stricro02,1998,0.43,0.16,0.73,5.33,10.54,1.66,0.33,3.50,17.75,31
4,Jason Kidd,kiddja01,1999,0.44,0.90,0.76,6.78,10.78,2.28,0.38,3.00,16.92,25
4,Rod Strickland,stricro02,1999,0.42,0.27,0.75,4.82,9.86,1.73,0.11,3.23,15.68,32
4,Terrell Brandon,brandte01,2000,0.47,0.75,0.90,3.35,8.86,1.89,0.42,2.59,17.07,29
4,Sam Cassell,cassesa01,2000,0.47,0.32,0.88,3.72,9.00,1.26,0.10,3.30,18.59,30
4,Jason Kidd,kiddja01,2000,0.41,0.84,0.83,7.21,10.12,2.00,0.42,3.37,14.31,26
4,Nick Van Exel,vanexni01,2000,0.39,1.68,0.82,3.94,9.04,0.86,0.14,2.80,16.14,28
4,Mike Bibby,bibbymi01,2001,0.45,1.32,0.76,3.71,8.35,1.30,0.15,3.02,15.87,22
4,Jason Kidd,kiddja01,2001,0.41,0.90,0.81,6.42,9.78,2.16,0.30,3.71,16.87,27
4,Andre Miller,millean02,2001,0.45,0.21,0.83,4.39,8.01,1.45,0.34,3.23,15.80,24
4,Nick Van Exel,vanexni01,2001,0.41,1.90,0.82,3.39,8.45,0.86,0.25,2.32,17.73,29
4,Baron Davis,davisba01,2002,0.42,2.07,0.58,4.26,8.51,2.10,0.57,3.00,18.10,22
4,Jason Kidd,kiddja01,2002,0.39,1.43,0.81,7.26,9.85,2.13,0.24,3.49,14.73,28
4,Andre Miller,millean02,2002,0.45,0.27,0.82,4.68,10.89,1.56,0.42,3.02,16.48,25
4,Jason Kidd,kiddja01,2003,0.41,1.58,0.84,6.30,8.89,2.24,0.31,3.70,18.69,29
4,Jason Kidd,kiddja01,2004,0.38,1.40,0.83,6.39,9.22,1.82,0.21,3.19,15.46,30
