cluster,player,playerId,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age,similarPlayers
19,C.J. McCollum,mccolcj01,0.44,0.89,0.70,1.47,1.03,0.69,0.13,0.77,6.84,23,copelho01;cummipa01;dawkipa01;givenja01;glennmi01;grunfer01;hassejo01;hendege01;paxsoji02;redmoma01;richacl01;boynewi01;byrnema01;garreca01;hanzlbi01;richacl01;whitnha02;wileymi01;cartebu01;hanzlbi01;kelsegr01;loderke01;macklru01;nancela01;nicksca01;wilkeja02;woolror01;bransbr01;davisch02;jackstr01;macklru01;okoremi01;sandemi01;schoeru01;carteho01;dayeda01;edmonke01;higgiro01;hodgecr01;steppbr01;suttlda01;thomaji01;tucketr01;brownto01;campbto01;kerseje01;roberfr01;stanste01;turneje01;campbto01;fieldke01;holtomi01;schrede01;thibepe01;thomppa01;addisra01;battljo01;corbity01;gondrgr01;gordola01;krystla01;mcdonbe01;reynoje01;thompbi01;alarima01;brancad01;comegda01;hendeda01;johnsbu01;pincked01;comegda01;grantha01;lohaubr01;tayloan01;walkeke01;bennewi01;grayeje01;hammoto01;lichtto01;martije01;royaldo01;barroda01;glassge01;hammoto01;kimblbo01;kingst01;liberma01;martije01;bullama01;cebalce01;georgta01;higgise01;mccloge01;whitera01;buechju01;burtowi01;cambrde01;chilcpe01;foxri01;macledo01;maystr01;sealyma01;smithto02;butlemi02;harrilu01;murratr01;sealyma01;willike03;butlemi02;lynchge01;mckieaa01;minerha01;minorgr01;piatker01;waltere01;lenarvo01;motenla01;obanned01;rogerca01;willico02;andersh01;carrch01;hendeal01;mckieaa01;motenla01;murrala01;wrighsh01;abdulta01;grayed01;honeyje01;muursma01;rhodero01;washier01;willial02;carrch01;crawfch01;garripa01;hendrma01;millebr01;taylojo01;washier01;hendece02;mcleoro01;robined01;doleami01;glovedi01;guytoaj01;langdtr01;masonde01;robined01;georgde01;zhizhwa01;bendejo01;butlera01;collija03;dixonju01;doolike01;dunlemi02;houseed01;turkohe01;banksma01;bendejo01;brownke01;butlera01;doolike01;duprero01;greenwi01;jacobca01;johnsde03;rushka01;salmojo01;whitero02;allento01;barbole01;bonnema01;cabarza01;cookbr01;greenwi01;harriju01;harrida01;jacobca01;johnsde03;nachbbo01;rossqu01;stevede01;udrihbe01;allento01;anderal01;dioguik01;garcifr01;grahajo01;woodsqy01;azubuke01;carnero01;dioguik01;grahajo01;kinseta01;kleizli01;rayal01;redicjj01;stoudsa01;arizatr01;carnero01;dioguik01;pavloal01;sefolth01;snydeki01;wrighan01;youngni01;carnero01;dudleja01;hibbero01;hillge01;redicjj01;taylomi01;vujacsa01;weaveky01;wrighan01;bassbr01;belinma01;ellinwa01;farmajo01;gibsoda01;priceaj01;weemsso01;wrighdo01;youngsa01;cookda02;douglch01;ellinwa01;geeal01;greendo01;lopezro01;priceaj01;tayloje02;willish03;babbilu01;casspom01;coleno01;cookda02;ellinwa01;fredeji01;greendo01;harrima01;johnswe01;walkebi01;willite01;wrighbr03;arthuda01;coleno01;fredeji01;hamiljo02;jacksre01;motiedo01;pondequ01;shumpim01;tayloje03;babbilu01;bazemke01;hamiljo02;johnsch04;leuerjo01;mooreet01;tayloje03;thompho01;williel01;bartowi01;daviebr01;earlycl01;ennisja01;hairspj02;jenkijo01;johnsch04;johnsty01;josepco01;kellyry01;lambje01;mccolcj01;riverau01;snellto01
19,Patrick Mills,millspa02,0.38,1.22,0.83,1.47,1.71,0.55,0.04,0.69,6.88,26,abernto01;gerargu01;davisro01;maysc01;parkeso01;cummipa01;glennmi01;knighto01;pheglro01;glennmi01;grunfer01;moorelo01;richacl01;spanaji01;collido02;mckenke01;okoremi01;richacl01;anderro01;davisch02;mckenke01;sprigla01;davisch02;ellisda01;mckenke01;wiggimi01;carran01;ehlocr01;roberfr01;turpime01;colemno01;dayeda01;roberfr01;sandemi01;schoeru01;threase01;turpime01;walkeda01;willike01;alarima01;brancad01;campbto01;reynoje01;sellebr01;farmeji01;gattike01;kemptti01;petrodr01;rothsc01;willire01;alarima01;battlke01;eliema01;ferredu01;gervide01;grayeje01;lohaubr01;paddige01;wingada01;woodda01;addisra01;askewvi01;fredean01;jameshe01;kerrst01;kingst01;lichtto01;askewvi01;bullama01;glassge01;howarbr01;kingst01;lichtto01;mooretr01;burtowi01;daniell01;jordare01;royaldo01;daniell01;hammoto01;simmoli01;smithto02;chrisdo01;dumasri02;earlac01;harrilu01;roberst01;burresc01;deherte01;macksa01;piatker01;waltere01;bowenbr01;burresc01;ellisha01;respesh01;robinja02;sealyma01;stithbr01;willimo01;cheanca01;davidko01;murratr01;stricer01;willier01;davisma02;delkto01;drewbr01;wallajo01;willier01;crawfch01;jacksbo01;stricer01;wallajo01;croshau01;drobnpr01;padgesc01;smithch04;torreos01;alexaco02;batismi01;buckngr01;ginobma01;mercero01;nailole01;padgesc01;robined01;robined01;allenma01;brownde02;buforro01;butlera01;collija02;evansma01;fizerma01;hassetr01;houseed01;murraro01;welscji01;wilkida02;bonnema01;brownde02;carroma01;johnsde03;robinbe01;wilkida02;cookbr01;daniema01;doolike01;garcifr01;hayesja01;jonesda02;jonesfr01;jonesja02;radmavl01;rossqu01;allento01;banksma01;hayesja01;headlu01;kaponja01;pietrmi01;simmobo01;allento01;grahast01;novakst01;headlu01;holliry01;wrighan01;brewero02;holliry01;livinsh01;pekovni01;powele01;robinna01;smithcr01;thornal01;youngsa01;brewero02;douglto01;forbega01;gibsoda01;livinsh01;telfase01;wafervo01;webstma02;whitedj01;carrode01;douglto01;ellinwa01;greenge01;johnsja01;johnswe01;meeksjo01;willima02;arthuda01;beaslmi01;budinch01;casspom01;douglch01;johnsja01;arthuda01;bazemke01;budinch01;millspa02;millsel01;pondequ01;scottmi01;serapke01;singlky01;thomala01;thornma01;walkebi01
19,Elijah Millsap,millsel01,0.34,0.60,0.67,3.19,1.23,1.19,0.34,1.43,5.28,27,gerargu01;davisro01;maysc01;glennmi01;knighto01;mcelrji01;glennmi01;grunfer01;richacl01;brewero01;richacl01;robeyri01;anderro01;davisch02;mckenke01;richacl01;davisch02;mckenke01;wiggimi01;anderro01;cookda01;mckenke01;nimphku01;orrlo01;roberfr01;turpime01;woodal01;colemno01;dayeda01;kingal01;roberfr01;sandemi01;schoeru01;threase01;tripuke01;tucketr01;turpime01;walkeda01;willike01;anderri01;campbto01;hansebo01;reynoje01;roberfr01;schoeru01;sellebr01;kemptti01;rothsc01;sundvjo01;alarima01;battlke01;eliema01;gervide01;lohaubr01;wingada01;woodda01;addisra01;fredean01;jameshe01;kerrst01;smithot01;addisra01;askewvi01;garlawi01;kingst01;lichtto01;mooretr01;daniell01;ferredu01;grayeje01;jordare01;royaldo01;daniell01;eacklle01;ferryda01;hammoto01;legleti01;simmoli01;smithto02;conloma01;dumasri02;westdo01;burresc01;burtowi01;macksa01;piatker01;waltere01;abdulma02;bowenbr01;burresc01;ellisha01;robinja02;sealyma01;stithbr01;willimo01;burresc01;cheanca01;davidko01;harrilu01;murratr01;robinja02;stithbr01;willier01;davidko01;davisma02;delkto01;willier01;jacksbo01;stricer01;wallajo01;willier01;croshau01;drobnpr01;larueru01;smithch04;buckngr01;jacksma02;mccarwa01;mercero01;nailole01;padgesc01;robined01;drobnpr01;nailole01;patteru01;robined01;allenma01;brownde02;buckngr01;buforro01;collija02;evansma01;fizerma01;houseed01;brownde02;wilkida02;cookbr01;daniema01;doolike01;jaricma01;jonesda02;jonesfr01;jonesja02;radmavl01;allento01;banksma01;hayesja01;jonesfr01;kaponja01;simmobo01;allento01;boganke01;grahast01;jonesda02;radmavl01;allento01;hayesja01;headlu01;kaponja01;korveky01;gomesry01;grahajo01;headlu01;holliry01;pietrmi01;powele01;robinna01;smithcr01;thornal01;brewero02;forbega01;livinsh01;telfase01;wafervo01;brookaa01;carrode01;douglto01;greenge01;kleizli01;martica01;villach01;watsocj01;willima02;douglch01;dudleja01;johnsja01;tollian01;wrighdo01;arthuda01;budinch01;millspa02;millsel01;pondequ01;scottmi01;singlky01;thomala01;thornma01;walkebi01;willish03
19,Quincy Pondexter,pondequ01,0.42,1.21,0.74,2.60,1.25,0.25,0.32,0.68,7.17,26,abernto01;gerargu01;davisro01;maysc01;parkeso01;cummipa01;glennmi01;knighto01;pheglro01;glennmi01;grunfer01;moorelo01;richacl01;spanaji01;collido02;mckenke01;okoremi01;richacl01;anderro01;davisch02;mckenke01;sprigla01;davisch02;ellisda01;mckenke01;wiggimi01;carran01;ehlocr01;roberfr01;turpime01;colemno01;dayeda01;roberfr01;sandemi01;schoeru01;threase01;turpime01;walkeda01;willike01;alarima01;brancad01;campbto01;reynoje01;sellebr01;farmeji01;gattike01;kemptti01;petrodr01;rothsc01;willire01;alarima01;battlke01;eliema01;ferredu01;gervide01;grayeje01;lohaubr01;paddige01;wingada01;woodda01;addisra01;askewvi01;fredean01;jameshe01;kerrst01;kingst01;lichtto01;askewvi01;bullama01;glassge01;howarbr01;kingst01;lichtto01;mooretr01;burtowi01;daniell01;jordare01;royaldo01;daniell01;hammoto01;simmoli01;smithto02;chrisdo01;dumasri02;earlac01;harrilu01;roberst01;burresc01;deherte01;macksa01;piatker01;waltere01;bowenbr01;burresc01;ellisha01;respesh01;robinja02;sealyma01;stithbr01;willimo01;cheanca01;davidko01;murratr01;stricer01;willier01;davisma02;delkto01;drewbr01;wallajo01;willier01;crawfch01;jacksbo01;stricer01;wallajo01;croshau01;drobnpr01;padgesc01;smithch04;torreos01;alexaco02;batismi01;buckngr01;ginobma01;mercero01;nailole01;padgesc01;robined01;robined01;allenma01;brownde02;buforro01;butlera01;collija02;evansma01;fizerma01;hassetr01;houseed01;murraro01;welscji01;wilkida02;bonnema01;brownde02;carroma01;johnsde03;robinbe01;wilkida02;cookbr01;daniema01;doolike01;garcifr01;hayesja01;jonesda02;jonesfr01;jonesja02;radmavl01;rossqu01;allento01;banksma01;hayesja01;headlu01;kaponja01;pietrmi01;simmobo01;allento01;grahast01;novakst01;headlu01;holliry01;wrighan01;brewero02;holliry01;livinsh01;pekovni01;powele01;robinna01;smithcr01;thornal01;youngsa01;brewero02;douglto01;forbega01;gibsoda01;livinsh01;telfase01;wafervo01;webstma02;whitedj01;carrode01;douglto01;ellinwa01;greenge01;johnsja01;johnswe01;meeksjo01;willima02;arthuda01;beaslmi01;budinch01;casspom01;douglch01;johnsja01;arthuda01;bazemke01;budinch01;millspa02;millsel01;pondequ01;scottmi01;serapke01;singlky01;thomala01;thornma01;walkebi01
19,Otto Porter,porteot01,0.45,0.47,0.73,2.99,0.88,0.59,0.41,0.70,6.01,21,dawkipa01;paxsoji02;loderke01;nancela01;woolror01;sandemi01;schoeru01;carteho01;drexlcl01;suttlda01;campbto01;kerseje01;turneje01;addisra01;krystla01;brownch01;hammoto01;liberma01;cebalce01;murratr01;sealyma01;murratr01;mckieaa01;lenarvo01;trentga01;willico02;carrch01;potapvi01;grayed01;doleami01;garripa01;millebr01;thomati01;benjaco01;glovedi01;glovedi01;guytoaj01;johnsde03;turkohe01;bendejo01;johnsjo02;radmavl01;bendejo01;doolike01;dunlemi02;yarbrvi01;banksma01;brownke01;greenwi01;jacobca01;pietrmi01;wagneda02;barbole01;harride01;harrida01;outlatr01;udrihbe01;dioguik01;ellismo01;mccanra01;outlatr01;smithjr01;carnero01;kinseta01;kleizli01;rayal01;redicjj01;webstma02;arizatr01;chandwi01;crittja01;willish03;youngni01;batumni01;gallida01;hibbero01;hillge01;weaveky01;anderry01;beaubro01;dayeau01;ellinwa01;aminual01;eyengch01;greendo01;harrima01;haywago01;lopezro01;babbilu01;bradlav01;burksal01;fredeji01;harrima01;henryxa01;burksal01;hamiljo02;jacksre01;jenkijo01;middlkh01;motiedo01;riverau01;rosste01;shumpim01;caldwke01;harklma01;thompho01;goodwar01;grantje01;hairspj02;johnsty01;lambje01;porteot01;riverau01;sampsja02;warretj01
19,Tayshaun Prince,princta01,0.44,0.53,0.75,3.62,1.60,0.50,0.28,0.60,7.48,34,monroea01;fordch01;mixst01;crissch01;mixst01;jonesbo01;mcmilto01;wedmasc01;freewo01;edwarja01;hendege01;reidro01;vandeki01;vandeki01;blackro01;higgiro01;chambto01;carran01;corbity01;malonje01;carran01;harpero01;scottby01;kerseje01;persoch01;newmajo01;persoch01;curryde01;douglsh01;bullama01;ferryda01;majerda01;mannida01;robinla01;gillke01;longgr01;campbel01;smithst01;augmost01;harrilu01;peelean01;barrybr01;barryjo01;hardaan01;horryro01;laettch01;persowe01;smithst01;barrybr01;bowenbr01;jonesed02;jacksbo01;jacksbo01;parkean01;millebr01;bellra01;battish01;jacksst02;lewisra02;pargoja01;wilkida02;harrial01;millemi01;princta01;butleca01;butlera01;greenwi01;hinriki01;jefferi01;princta01
19,Austin Rivers,riverau01,0.41,0.51,0.68,2.00,2.04,0.63,0.18,0.86,6.97,22,benjaco01;glovedi01;robined01;doleami01;glovedi01;guytoaj01;masonde01;turkohe01;bendejo01;radmavl01;bendejo01;butlera01;doolike01;dunlemi02;turkohe01;yarbrvi01;banksma01;bendejo01;brownke01;doolike01;duprero01;greenwi01;jacobca01;johnsde03;pietrmi01;rushka01;whitero02;allento01;barbole01;cabarza01;greenwi01;harride01;harrida01;jacobca01;rossqu01;stevede01;udrihbe01;anderal01;dioguik01;grahajo01;mccanra01;outlatr01;azubuke01;carnero01;dioguik01;kinseta01;kleizli01;rayal01;redicjj01;arizatr01;carnero01;sefolth01;willish03;wrighan01;youngni01;dudleja01;hibbero01;hillge01;taylomi01;weaveky01;anderry01;beaubro01;belinma01;dayeau01;ellinwa01;farmajo01;gibsoda01;priceaj01;weemsso01;cookda02;ellinwa01;eyengch01;geeal01;greendo01;harrima01;lopezro01;babbilu01;bradlav01;casspom01;coleno01;fredeji01;greendo01;harrima01;burksal01;fredeji01;hamiljo02;jacksre01;jenkijo01;middlkh01;motiedo01;rosste01;shumpim01;tayloje03;hamiljo02;johnsch04;thompho01;daviebr01;earlycl01;hairspj02;jenkijo01;johnsty01;josepco01;kellyry01;lambje01;mccolcj01;porteot01;riverau01;sampsja02;snellto01;warretj01;cummipa01;dawkipa01;givenja01;paxsoji02;richacl01;boynewi01;hanzlbi01;whitnha02;wileymi01;cartebu01;loderke01;macklru01;nancela01;nicksca01;wilkeja02;woolror01;jackstr01;sandemi01;schoeru01;carteho01;dayeda01;drexlcl01;edmonke01;hodgecr01;suttlda01;thomaji01;campbto01;kerseje01;stanste01;turneje01;campbto01;fieldke01;schrede01;addisra01;krystla01;thompbi01;comegda01;hendeda01;grantha01;tayloan01;brownch01;hammoto01;lichtto01;martije01;royaldo01;barroda01;glassge01;hammoto01;liberma01;cebalce01;georgta01;higgise01;cambrde01;foxri01;macledo01;murratr01;sealyma01;butlemi02;harrilu01;murratr01;sealyma01;mckieaa01;minerha01;minorgr01;lenarvo01;motenla01;obanned01;trentga01;willico02;andersh01;carrch01;murrala01;potapvi01;abdulta01;grayed01;honeyje01;muursma01;washier01;willial02;crawfch01;doleami01;garripa01;millebr01;thomati01
19,Brian Roberts,roberbr01,0.39,0.86,0.89,1.51,2.25,0.46,0.08,0.79,6.67,29,cheniph01;johnsol01;mengejo01;weathni01;carrml01;restake01;kenonla01;mcelrji01;robinbi01;greveke01;kenonla01;brewero01;greveke01;robeyri01;brewero01;grunfer01;richacl01;glennmi01;grunfer01;sichtje01;anderro01;cookda01;mckenke01;nimphku01;orrlo01;woodal01;anderro01;kingal01;paxsoji02;tripuke01;tucketr01;anderri01;cookda01;hansebo01;kingal01;roberfr01;schoeru01;hansebo01;hodgecr01;sandemi01;sundvjo01;dailequ01;hansebo01;sandemi01;burttst01;smithot01;turneje01;addisra01;campbto01;garlawi01;johnsbu01;mitchsa01;turneje01;wilkied01;ferredu01;grayeje01;spencan01;wingada01;eacklle01;edwarbl01;ferryda01;gamblke01;legleti01;woodda01;conloma01;gamblke01;royaldo01;westdo01;askewvi01;burtowi01;recasel01;westdo01;abdulma02;augmost01;benoida01;bullama01;currymi01;mccloge01;buechju01;burresc01;harrilu01;robinja02;scottde01;stithbr01;burresc01;davidko01;davishu01;dayto01;foxri01;fundela01;harrilu01;stithbr01;bowenbr01;persowe01;rideris01;willier01;bowenbr01;cheanca01;larueru01;murratr01;willier01;willimo01;jacksma02;mccarwa01;rebraze01;delkto01;drobnpr01;murrala01;nailole01;patteru01;trentga01;buckngr01;newblir01;buckngr01;jonesda01;tayloma01;georgde01;giricgo01;hudsotr01;jaricma01;jonesda01;brownde02;giricgo01;houseed01;jonesfr01;luety01;songada01;udokaim01;boganke01;davisri01;evansma01;jonesda02;radmavl01;songada01;allento01;anderda03;bellch01;bonnema01;daniema01;hayesja01;kaponja01;korveky01;masonro01;simmobo01;wilkida02;bonnema01;daniema01;gomesry01;grahajo01;headlu01;jonesda02;jonesja02;pietrmi01;radmavl01;bynumwi01;greenwi01;lucasjo02;pietrmi01;warriha01;brookaa01;diawbo01;kleizli01;martica01;novakst01;villach01;warriha01;watsocj01;dudleja01;martica01;outlatr01;sefolth01;tollian01;watsocj01;wrighdo01;copelch01;dudleja01;roberbr01;tollian01;villach01;willish03
19,JaKarr Sampson,sampsja02,0.42,0.42,0.67,2.20,1.04,0.51,0.35,1.03,5.22,21,dawkipa01;paxsoji02;loderke01;nancela01;woolror01;sandemi01;schoeru01;carteho01;drexlcl01;suttlda01;campbto01;kerseje01;turneje01;addisra01;krystla01;brownch01;hammoto01;liberma01;cebalce01;murratr01;sealyma01;murratr01;mckieaa01;lenarvo01;trentga01;willico02;carrch01;potapvi01;grayed01;doleami01;garripa01;millebr01;thomati01;benjaco01;glovedi01;glovedi01;guytoaj01;johnsde03;turkohe01;bendejo01;johnsjo02;radmavl01;bendejo01;doolike01;dunlemi02;yarbrvi01;banksma01;brownke01;greenwi01;jacobca01;pietrmi01;wagneda02;barbole01;harride01;harrida01;outlatr01;udrihbe01;dioguik01;ellismo01;mccanra01;outlatr01;smithjr01;carnero01;kinseta01;kleizli01;rayal01;redicjj01;webstma02;arizatr01;chandwi01;crittja01;willish03;youngni01;batumni01;gallida01;hibbero01;hillge01;weaveky01;anderry01;beaubro01;dayeau01;ellinwa01;aminual01;eyengch01;greendo01;harrima01;haywago01;lopezro01;babbilu01;bradlav01;burksal01;fredeji01;harrima01;henryxa01;burksal01;hamiljo02;jacksre01;jenkijo01;middlkh01;motiedo01;riverau01;rosste01;shumpim01;caldwke01;harklma01;thompho01;goodwar01;grantje01;hairspj02;johnsty01;lambje01;porteot01;riverau01;sampsja02;warretj01
19,Mike Scott,scottmi01,0.44,0.97,0.79,2.93,1.10,0.37,0.04,0.57,7.78,26,davisma02;delkto01;drewbr01;wallajo01;willier01;crawfch01;jacksbo01;stricer01;wallajo01;croshau01;drobnpr01;padgesc01;smithch04;torreos01;alexaco02;batismi01;buckngr01;ginobma01;mercero01;nailole01;padgesc01;robined01;robined01;allenma01;brownde02;buforro01;butlera01;collija02;evansma01;fizerma01;hassetr01;houseed01;murraro01;welscji01;wilkida02;bonnema01;brownde02;carroma01;johnsde03;robinbe01;wilkida02;cookbr01;daniema01;doolike01;garcifr01;hayesja01;jonesda02;jonesfr01;jonesja02;radmavl01;rossqu01;allento01;banksma01;hayesja01;headlu01;kaponja01;pietrmi01;simmobo01;allento01;grahast01;novakst01;headlu01;holliry01;wrighan01;brewero02;holliry01;livinsh01;pekovni01;powele01;robinna01;smithcr01;thornal01;youngsa01;brewero02;douglto01;forbega01;gibsoda01;livinsh01;telfase01;wafervo01;webstma02;whitedj01;carrode01;douglto01;ellinwa01;greenge01;johnsja01;johnswe01;meeksjo01;willima02;arthuda01;beaslmi01;budinch01;casspom01;douglch01;johnsja01;arthuda01;bazemke01;budinch01;millspa02;millsel01;pondequ01;scottmi01;serapke01;singlky01;thomala01;thornma01;walkebi01;abernto01;gerargu01;davisro01;maysc01;parkeso01;cummipa01;glennmi01;knighto01;pheglro01;glennmi01;grunfer01;moorelo01;richacl01;spanaji01;collido02;mckenke01;okoremi01;richacl01;anderro01;davisch02;mckenke01;sprigla01;davisch02;ellisda01;mckenke01;wiggimi01;carran01;ehlocr01;roberfr01;turpime01;colemno01;dayeda01;roberfr01;sandemi01;schoeru01;threase01;turpime01;walkeda01;willike01;alarima01;brancad01;campbto01;reynoje01;sellebr01;farmeji01;gattike01;kemptti01;petrodr01;rothsc01;willire01;alarima01;battlke01;eliema01;ferredu01;gervide01;grayeje01;lohaubr01;paddige01;wingada01;woodda01;addisra01;askewvi01;fredean01;jameshe01;kerrst01;kingst01;lichtto01;askewvi01;bullama01;glassge01;howarbr01;kingst01;lichtto01;mooretr01;burtowi01;daniell01;jordare01;royaldo01;daniell01;hammoto01;simmoli01;smithto02;chrisdo01;dumasri02;earlac01;harrilu01;roberst01;burresc01;deherte01;macksa01;piatker01;waltere01;bowenbr01;burresc01;ellisha01;respesh01;robinja02;sealyma01;stithbr01;willimo01;cheanca01;davidko01;murratr01;stricer01;willier01
19,Kevin Seraphin,serapke01,0.51,0.00,0.71,3.65,0.75,0.13,0.75,1.24,6.58,25,davisma02;delkto01;drewbr01;hendece02;mcleoro01;wallajo01;crawfch01;langdtr01;robined01;wallajo01;croshau01;drobnpr01;georgde01;padgesc01;smithch04;torreos01;zhizhwa01;alexaco02;batismi01;buckngr01;collija03;dixonju01;ginobma01;houseed01;mercero01;padgesc01;robined01;butlera01;salmojo01;allenma01;bonnema01;brownde02;butlera01;cookbr01;evansma01;fizerma01;harriju01;hassetr01;houseed01;johnsde03;murraro01;nachbbo01;welscji01;wilkida02;allento01;bonnema01;carroma01;garcifr01;johnsde03;robinbe01;wilkida02;woodsqy01;cookbr01;daniema01;doolike01;garcifr01;grahajo01;hayesja01;jonesda02;jonesja02;radmavl01;rossqu01;stoudsa01;allento01;banksma01;dioguik01;hayesja01;headlu01;kaponja01;pavloal01;pietrmi01;snydeki01;carnero01;grahast01;novakst01;redicjj01;vujacsa01;wrighan01;bassbr01;holliry01;wrighan01;wrighdo01;youngsa01;brewero02;douglch01;holliry01;livinsh01;pekovni01;priceaj01;robinna01;tayloje02;willish03;youngsa01;brewero02;cookda02;douglto01;ellinwa01;forbega01;gibsoda01;johnswe01;livinsh01;telfase01;wafervo01;walkebi01;webstma02;whitedj01;willite01;wrighbr03;arthuda01;carrode01;coleno01;douglto01;ellinwa01;johnsja01;johnswe01;meeksjo01;pondequ01;willima02;arthuda01;babbilu01;bazemke01;beaslmi01;budinch01;casspom01;johnsja01;leuerjo01;mooreet01;tayloje03;williel01;arthuda01;bartowi01;bazemke01;budinch01;ennisja01;johnsch04;millspa02;pondequ01;scottmi01;serapke01;singlky01;thomala01;abernto01;copelho01;gerargu01;glennmi01;grunfer01;hassejo01;hendege01;redmoma01;byrnema01;davisro01;garreca01;maysc01;parkeso01;richacl01;cummipa01;glennmi01;hanzlbi01;kelsegr01;knighto01;pheglro01;bransbr01;davisch02;macklru01;moorelo01;okoremi01;richacl01;spanaji01;collido02;higgiro01;mckenke01;okoremi01;steppbr01;tucketr01;anderro01;brownto01;davisch02;mckenke01;roberfr01;sprigla01;ellisda01;holtomi01;thibepe01;thomppa01;wiggimi01;battljo01;carran01;corbity01;ehlocr01;gondrgr01;gordola01;mcdonbe01;reynoje01;roberfr01;turpime01;alarima01;brancad01;colemno01;johnsbu01;pincked01;threase01;walkeda01;willike01;alarima01;brancad01;campbto01;comegda01;lohaubr01;reynoje01;sellebr01;walkeke01;bennewi01;farmeji01;gattike01;grayeje01;kemptti01;petrodr01;rothsc01;willire01;battlke01;ferredu01;grayeje01;kimblbo01;kingst01;lohaubr01;martije01;paddige01;woodda01;askewvi01;bullama01;jameshe01;kerrst01;kingst01;lichtto01;mccloge01;whitera01;askewvi01;buechju01;bullama01;burtowi01;chilcpe01;glassge01;howarbr01;kingst01;lichtto01;maystr01;smithto02;burtowi01;daniell01;jordare01;willike03;butlemi02;lynchge01;piatker01;simmoli01;smithto02;waltere01;chrisdo01;dumasri02;earlac01;harrilu01;roberst01;rogerca01;burresc01;deherte01;hendeal01;macksa01;mckieaa01;motenla01;piatker01;waltere01;wrighsh01;bowenbr01;respesh01;rhodero01;willimo01;carrch01;hendrma01;stricer01;taylojo01;washier01;willier01
19,Kyle Singler,singlky01,0.39,1.20,0.77,2.43,1.06,0.59,0.26,0.69,6.00,26,davisma02;delkto01;drewbr01;wallajo01;willier01;crawfch01;jacksbo01;stricer01;wallajo01;croshau01;drobnpr01;padgesc01;smithch04;torreos01;alexaco02;batismi01;buckngr01;ginobma01;mercero01;nailole01;padgesc01;robined01;robined01;allenma01;brownde02;buforro01;butlera01;collija02;evansma01;fizerma01;hassetr01;houseed01;murraro01;welscji01;wilkida02;bonnema01;brownde02;carroma01;johnsde03;robinbe01;wilkida02;cookbr01;daniema01;doolike01;garcifr01;hayesja01;jonesda02;jonesfr01;jonesja02;radmavl01;rossqu01;allento01;banksma01;hayesja01;headlu01;kaponja01;pietrmi01;simmobo01;allento01;grahast01;novakst01;headlu01;holliry01;wrighan01;brewero02;holliry01;livinsh01;pekovni01;powele01;robinna01;smithcr01;thornal01;youngsa01;brewero02;douglto01;forbega01;gibsoda01;livinsh01;telfase01;wafervo01;webstma02;whitedj01;carrode01;douglto01;ellinwa01;greenge01;johnsja01;johnswe01;meeksjo01;willima02;arthuda01;beaslmi01;budinch01;casspom01;douglch01;johnsja01;arthuda01;bazemke01;budinch01;millspa02;millsel01;pondequ01;scottmi01;serapke01;singlky01;thomala01;thornma01;walkebi01;abernto01;gerargu01;davisro01;maysc01;parkeso01;cummipa01;glennmi01;knighto01;pheglro01;glennmi01;grunfer01;moorelo01;richacl01;spanaji01;collido02;mckenke01;okoremi01;richacl01;anderro01;davisch02;mckenke01;sprigla01;davisch02;ellisda01;mckenke01;wiggimi01;carran01;ehlocr01;roberfr01;turpime01;colemno01;dayeda01;roberfr01;sandemi01;schoeru01;threase01;turpime01;walkeda01;willike01;alarima01;brancad01;campbto01;reynoje01;sellebr01;farmeji01;gattike01;kemptti01;petrodr01;rothsc01;willire01;alarima01;battlke01;eliema01;ferredu01;gervide01;grayeje01;lohaubr01;paddige01;wingada01;woodda01;addisra01;askewvi01;fredean01;jameshe01;kerrst01;kingst01;lichtto01;askewvi01;bullama01;glassge01;howarbr01;kingst01;lichtto01;mooretr01;burtowi01;daniell01;jordare01;royaldo01;daniell01;hammoto01;simmoli01;smithto02;chrisdo01;dumasri02;earlac01;harrilu01;roberst01;burresc01;deherte01;macksa01;piatker01;waltere01;bowenbr01;burresc01;ellisha01;respesh01;robinja02;sealyma01;stithbr01;willimo01;cheanca01;davidko01;murratr01;stricer01;willier01
